"acquia-sites.com","Acquia","DigiCert High Assurance CA-3","OV","156","T","Content delivery network","Base domain is a parked domain"
"cvent.com","Cvent, Inc.","DigiCert High Assurance CA-3","OV","155","F","Booking service for events.",
"rpxnow.com","JanRain, Inc.","DigiCert High Assurance CA-3","OV","147","F","Part of Janrain",
"com/emailAddress=admin@suresupport.com","Dimitar Dimitrov","StartCom Class 2 Primary Intermediate Server CA","OV","145","F","Not for web use",
"acquia-sites.com","Acquia, Inc.","DigiCert High Assurance CA-3","OV","140","T","Content delivery network","Base domain is a parked domain"
"lipton.ch","Unilever","Entrust Certification Authority - L1C","OV","138","F","Lipton Tea and its brands",
"edgecast.com","EdgeCast Networks, Inc.","DigiCert High Assurance CA-3","OV","129","T","Network intermediary",
"360bliss.com","360incentives.com Canada - Hosted By","Entrust Certification Authority - L1C","OV","126","F","Coupon service",
"bubbleup.net","BubbleUp, Ltd.","DigiCert High Assurance CA-3","OV","126","F","Soft drink brands",
"fastly.net","Fastly, Inc.","DigiCert High Assurance CA-3","OV","125","T","Content delivery network","Base site does not respond"
"raceit.com","US RaceWorks LLC","DigiCert High Assurance CA-3","OV","115","F","Ticket sales for multiple events",
"bubbleup.net","BubbleUp, LLC","DigiCert High Assurance CA-3","OV","113","F","Soft drink brands",
"delhi.edu","Moodlerooms, Inc.","DigiCert High Assurance CA-3","OV","112","T","Hosting service for schools",
"hamaris.fr","INOVAGORA","TBS X509 CA pro hosting","OV","112","F","Collection of tourism sites for locations in France.",
"NONE","HighQ Solutions Limited","COMODO High-Assurance Secure Server CA","OV","106","F","Not for web use",
"smiths.com","Smiths Group plc","Entrust Certification Authority - L1C","OV","105","F","Conglomerate with many subsidiaries.",
"yottaa.net","Yottaa, Inc.","GlobalSign Organization Validation CA - G2","OV","105","T","Content delivery network for mobile.","Why do they have “aclu.org” as an alternate domain?"
"ipipenet.com","Internet Pipeline Inc.","COMODO High-Assurance Secure Server CA","OV","104","T","Hosting service for life insurance sales.",
"NONE","CARETECH SOLUTIONS, INC.","COMODO High-Assurance Secure Server CA","OV","103","F","Not for web use",
"3scale.net","3 Scale Networks SL","DigiCert High Assurance CA-3","OV","102","T","Hosting service for multiple APIs",
"ipipenet.com","iPipeline","COMODO High-Assurance Secure Server CA","OV","102","T","Hosting service for life insurance sales.",
"NONE","Virtual Graffiti, Inc.","COMODO High-Assurance Secure Server CA","OV","100","F","Not for web use",
"pacloud.com","PeopleAdmin, Inc.","DigiCert High Assurance CA-3","OV","98","T","Associated with many separate educational institutions.",
"rogers.com","Rogers Communications Inc.","Trusted Secure Certificate Authority","OV","98","F","Brands of Canadian media conglomerate.",
"marketlive.com","MarketLive, Inc.","DigiCert High Assurance CA-3","OV","94","T","Retail customer relationship management service for many companies.",
"worldssl.net","OnApp SDN.BHD.","GlobalSign Organization Validation CA - G2","OV","94","T","SSL front end for multiple sites/",
"NONE","EVRY AS","Buypass Class 2 CA 2","OV","92","F","Not for web use.",
"textmeusa.com","Intellectual Capital Management, LLC","DigiCert High Assurance CA-3","OV","92","T","Advertising system with many unrelated domains.",
"NONE","EVRY AS","Buypass Class 2 CA 1","OV","91","F","Not for web use.",
"NONE","Red Bull GmbH","COMODO High-Assurance Secure Server CA","OV","91","F","Not for web use.",
"pfizergardens.com","Pfizer Incorporated","Entrust Certification Authority - L1C","OV","90","F","Brands of large drug company.",
"terra.as","EIKA GRUPPEN AS","COMODO High-Assurance Secure Server CA","OV","90",,,
"demant.com","William Demant Holding A/S","COMODO High-Assurance Secure Server CA","OV","89",,,
"peopleadmin.com","PeopleAdmin, Inc.","DigiCert High Assurance CA-3","OV","87",,,
"babycenter.com","Johnson and Johnson","COMODO High-Assurance Secure Server CA","OV","86","F","Brands of large consumer products company.",
"medicare-anthem.com","Wellpoint","Entrust Certification Authority - L1C","OV","86",,,
"novantonline.org","Novant Health","COMODO High-Assurance Secure Server CA","OV","86",,,
"technolutions.net","Technolutions, Inc.","DigiCert High Assurance CA-3","OV","86",,,
"terra.as","TERRA GRUPPEN AS","COMODO High-Assurance Secure Server CA","OV","86",,,
"busites.com","BubbleUp, LLC","DigiCert High Assurance CA-3","OV","84",,,
"lithium.com","Lithium Technologies, Inc.","DigiCert SHA2 High Assurance Server CA","OV","83",,,
"magazine.nl","Sanoma+Media+Netherlands+B.V.","COMODO High-Assurance Secure Server CA","OV","83",,,
"technolutions.com","Technolutions, Inc.","DigiCert High Assurance CA-3","OV","83",,,
"magazine.nl","Sanoma Media Netherlands B.V.","COMODO High-Assurance Secure Server CA","OV","82",,,
"NONE","Regus Management Ltd","COMODO High-Assurance Secure Server CA","OV","82",,,
"allpharmacymeds.com","Thundercom Systems Ltd","DigiCert High Assurance CA-3","OV","81",,,
"nextuc.net","NextUC","DigiCert High Assurance CA-3","OV","81",,,
"NONE","Holiday Extras Ltd","COMODO High-Assurance Secure Server CA","OV","80",,,
"foxycart.com","FoxyCart.com LLC","DigiCert Secure Server CA","OV","79",,,
"nilfisk-advance.com","Nilfisk-Advance A/S","GlobalSign Organization Validation CA - G2","OV","79",,,
"intility.no","Intility AS","DigiCert High Assurance CA-3","OV","78",,,
"epr-shop.de","MediAhaus","COMODO High-Assurance Secure Server CA","OV","77",,,
"kimberly-clark.com","Kimberly-Clark Corporation","COMODO High-Assurance Secure Server CA","OV","74",,,
"raulmalo.com","BubbleUp, LLC","DigiCert High Assurance CA-3","OV","73",,,
"textmeusa.com","Enowit, Inc","DigiCert High Assurance CA-3","OV","73",,,
"falck.com","FALCK DANMARK A/S","COMODO High-Assurance Secure Server CA","OV","72",,,
"lipton.com.au","Unilever","Entrust Certification Authority - L1C","OV","72",,,
"snuffelabonnement.nl","Sanoma Media Netherlands B.V","COMODO High-Assurance Secure Server CA","OV","72",,,
"careered.com","Career Education Corporation","Trusted Secure Certificate Authority","OV","71",,,
"landbrugsavisen.dk","Videncentret for Landbrug","GlobalSign Organization Validation CA - G2","OV","71",,,
"novantmedicalgroup.org","Novant Health","COMODO High-Assurance Secure Server CA","OV","71",,,
"com/emailAddress=domains@allegroshops.com","AllegroShops LLC","StartCom Class 2 Primary Intermediate Server CA","OV","70",,,
"yottaa.net","Yottaa Inc.","GlobalSign Organization Validation CA - G2","OV","70",,,
"commtech.gov.ng","Galaxy Backbone Plc (Hosted BY)","Entrust Certification Authority - L1C","OV","69",,,
"fedcs.gov.ng","Galaxy Backbone Plc (Hosted BY)","Entrust Certification Authority - L1C","OV","69",,,
"rgnrtr.com","relentlessGENERATOR","COMODO High-Assurance Secure Server CA","OV","69",,,
"adidas.com","adidas AG","Entrust Certification Authority - L1C","OV","68",,,
"ptj.de","Forschungszentrum Juelich GmbH","FZJ Certification Authority - G02/emailAddress=ca@fz-juelich.de","OV","68",,,
"qiexchange.net","QUEST ION IT (HK) LTD","COMODO High-Assurance Secure Server CA","OV","67",,,
"dovethailand.com","Unilever","Entrust Certification Authority - L1C","OV","66",,,
"fox.com","Fox Entertainment Group","Entrust Certification Authority - L1C","OV","66",,,
"advancedautomationinc.com","AAI Advanced Automation, Inc.","DigiCert High Assurance CA-3","OV","65",,,
"localviprewards.com","Enowit, Inc","DigiCert High Assurance CA-3","OV","64",,,
